Name, lambda_mean, lambda_eff, lambda_max, lambda_min, ZP
Generic/Bessell.V, 5512.1,  5445.8,  4733,  6875,  3579.8
Generic/Bessell.R, 6585.9,  6414.2,  5504,  8833,  2971.4
Generic/Bessell.I, 8059.9,  7978.8,  7042,  9167,  2405.3
MMT/MMTCam.r,      6234.8,  6122.9,  5336,  7113,  3144.2
MMT/MMTCam.i,      7674.9,  7591.2,  6790,  8506,  2535.4
MMT/MMTCam.z,      9454.2,  9334.0,  8225,  10727, 2188.7
MMT/MMIRS.Y,       10200.5, 10166.4, 9423,  11054, 2093.2
MMT/MMIRS.J,       12519.1, 12453.0, 11490, 13584, 1556.0
MMT/MMIRS.H,       16437.2, 16293.6, 14649, 18267, 1032.5
MMT/MMIRS.Ks,      21612.5, 21454.3, 19541, 23833, 668.3
2MASS/2MASS.J,     12350.0, 12350.0, 10806, 14068, 1594.0
2MASS/2MASS.H,     16620.0, 16620.0, 14787, 18231, 1024.0
2MASS/2MASS.Ks,    21590.0, 21590.0, 19544, 23552, 666.8
